2024-11-11 15:15:55.593,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:55.757,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:55.835,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:55.906,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:55.994,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:56.099,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:56.200,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:56.392,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:56.450,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:56.558,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:56.636,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:56.704,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:56.820,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:56.969,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.026,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.177,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.248,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.341,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.500,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.543,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.662,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.799,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.841,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:57.949,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.083,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.144,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.298,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.377,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.497,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.539,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.668,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.794,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.877,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:58.992,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:59.088,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:59.211,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:59.252,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:59.370,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:59.500,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:59.618,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:59.769,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:59.891,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:59.939,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:16:00.086,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:16:00.205,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:18:06.022,system,ERROR,msg_type:2,'NoneType' object is not callable
